 192.168.0.16 > GET > /home > 200 13.843107ms
 192.168.0.16 > GET > /assets/css/main.css > 304 130.076µs
 192.168.0.16 > GET > /assets/css/fonts/stylesheet.css > 404 192.077µs
 192.168.0.16 > GET > /api/stats > 200 1.044117ms
 192.168.0.16 > GET > /assets/img/checkerboard.jpg > 304 89.916µs
 192.168.0.16 > GET > /api/fetchanime > 200 856.573µs
 192.168.0.16 > GET > /get-messages > 200 2.130122ms
 192.168.0.16 > GET > /assets/favicon.ico > 404 95.547µs
 192.168.0.16 > GET > [/blog/31] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  148.516µs  0 367   
 192.168.0.16 > GET > [/blog/32] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  179.051µs  0 449   
 192.168.0.16 > GET > [/blog/33] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  155.743µs  0 893   
 192.168.0.16 > GET > [/blog/34] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  159.14µs  0 883   
 192.168.0.16 > GET > [/blog/35] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  149.563µs  0 399   
 192.168.0.16 > GET > [/blog/36] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  158.42µs  0 783   
 192.168.0.16 > GET > [/blog/37] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  140.235µs  0 221   
 192.168.0.16 > GET > [/blog/38] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  183.672µs code=404, message=post not foundsql: no rows in result set 0 3223   
 192.168.0.16 > GET > [/about] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  1.262833ms  0 0   
 192.168.0.16 > GET > [/assets/css/fonts/stylesheet.css] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  110.889µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/api/stats] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  225.63µs  0 69   
 192.168.0.16 > GET > [/home] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  1.651056ms  0 0   
 192.168.0.16 > GET > [/assets/css/fonts/stylesheet.css] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  126.88µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/api/stats] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  272.155µs  0 69   
 192.168.0.16 > GET > [/api/fetchanime] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  844.278µs  0 12725   
 192.168.0.16 > GET > [/get-messages] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  1.958191ms  0 58891   
 192.168.0.16 > GET > [/home] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  10.846558ms  0 0   
 192.168.0.16 > GET > [/assets/css/fonts/stylesheet.css] > [404] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  358.979µs code=404, message=Not Found 0 3223   
 192.168.0.16 > GET > [/api/stats] > [200] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36]  303.617µs  0 69   
